East Germany, Exposure to risk (period 1x10), 	Last modified: 29 Mar 2017, MPv5 (May07)

  Year          Age             Female            Male           Total
1956-1959        0            527335.50       558192.50      1085528.00
1956-1959        1            521294.33       550093.83      1071388.17
1956-1959        2            526003.83       554633.50      1080637.33
1956-1959        3            530422.17       559220.50      1089642.67
1956-1959        4            532860.50       561509.00      1094369.50
1956-1959        5            531104.33       558910.83      1090015.17
1956-1959        6            518124.67       544007.17      1062131.83
1956-1959        7            489332.00       512014.17      1001346.17
1956-1959        8            452001.83       470671.83       922673.67
1956-1959        9            404656.67       419587.83       824244.50
1956-1959       10            362280.33       374068.33       736348.67
1956-1959       11            358939.67       369232.67       728172.33
1956-1959       12            385047.67       396128.33       781176.00
1956-1959       13            425504.83       437880.83       863385.67
1956-1959       14            484848.83       499823.67       984672.50
1956-1959       15            539640.33       558651.00      1098291.33
1956-1959       16            578710.83       600175.17      1178886.00
1956-1959       17            608851.33       629077.83      1237929.17
1956-1959       18            609616.00       622742.67      1232358.67
1956-1959       19            586612.33       595199.67      1181812.00
1956-1959       20            563771.00       572576.67      1136347.67
1956-1959       21            545781.00       556925.50      1102706.50
1956-1959       22            522677.50       535202.83      1057880.33
1956-1959       23            491552.17       502120.50       993672.67
1956-1959       24            461949.33       464306.67       926256.00
1956-1959       25            443195.00       430602.67       873797.67
1956-1959       26            443552.67       414168.33       857721.00
1956-1959       27            454980.00       409574.33       864554.33
1956-1959       28            462541.67       401176.67       863718.33
1956-1959       29            462533.33       381169.50       843702.83
1956-1959       30            462419.33       356730.50       819149.83
1956-1959       31            461526.00       330514.83       792040.83
1956-1959       32            459725.50       306535.67       766261.17
1956-1959       33            464409.67       295349.50       759759.17
1956-1959       34            476233.67       294784.17       771017.83
1956-1959       35            500146.33       305395.00       805541.33
1956-1959       36            512003.33       311989.50       823992.83
1956-1959       37            479488.83       292773.50       772262.33
1956-1959       38            415882.00       253842.83       669724.83
1956-1959       39            345632.83       211323.17       556956.00
1956-1959       40            310636.50       189219.83       499856.33
1956-1959       41            345273.67       208676.33       553950.00
1956-1959       42            420085.17       254842.67       674927.83
1956-1959       43            498579.33       306354.00       804933.33
1956-1959       44            556381.83       347264.50       903646.33
1956-1959       45            584838.50       370994.33       955832.83
1956-1959       46            601535.83       388654.67       990190.50
1956-1959       47            613177.67       403906.33      1017084.00
1956-1959       48            623408.00       420023.83      1043431.83
1956-1959       49            631269.33       436742.17      1068011.50
1956-1959       50            628904.67       449887.50      1078792.17
1956-1959       51            622016.17       461964.00      1083980.17
1956-1959       52            614248.00       470843.00      1085091.00
1956-1959       53            607983.17       475903.17      1083886.33
1956-1959       54            604992.67       478804.67      1083797.33
1956-1959       55            599348.17       473888.00      1073236.17
1956-1959       56            591845.50       465023.83      1056869.33
1956-1959       57            582455.83       449464.50      1031920.33
1956-1959       58            569640.83       427733.67       997374.50
1956-1959       59            558087.33       404791.50       962878.83
1956-1959       60            546270.67       382434.17       928704.83
1956-1959       61            530300.33       361101.50       891401.83
1956-1959       62            513912.83       342707.67       856620.50
1956-1959       63            494653.50       325873.67       820527.17
1956-1959       64            475774.67       311970.50       787745.17
1956-1959       65            459724.00       302292.67       762016.67
1956-1959       66            443029.67       293141.83       736171.50
1956-1959       67            428152.67       285509.83       713662.50
1956-1959       68            411722.00       277385.67       689107.67
1956-1959       69            392359.67       266600.17       658959.83
1956-1959       70            369480.50       252936.00       622416.50
1956-1959       71            344556.33       237633.00       582189.33
1956-1959       72            317798.17       220291.83       538090.00
1956-1959       73            290884.50       202533.83       493418.33
1956-1959       74            265689.50       185529.67       451219.17
1956-1959       75            241591.67       169057.67       410649.33
1956-1959       76            220620.33       154808.00       375428.33
1956-1959       77            200852.00       141267.17       342119.17
1956-1959       78            181629.50       128097.67       309727.17
1956-1959       79            162789.83       114667.00       277456.83
1956-1959       80            139646.14        98569.27       238215.41
1956-1959       81            120039.76        84645.48       204685.24
1956-1959       82            100353.50        70617.22       170970.72
1956-1959       83             81913.06        57213.56       139126.62
1956-1959       84             64579.89        44498.23       109078.12
1956-1959       85             49567.44        33465.83        83033.27
1956-1959       86             38030.27        25015.76        63046.02
1956-1959       87             28657.75        18173.85        46831.60
1956-1959       88             21348.84        13014.72        34363.55
1956-1959       89             15839.97         9182.17        25022.14
1956-1959       90             11245.06         6159.27        17404.33
1956-1959       91              7630.30         4034.26        11664.56
1956-1959       92              5080.10         2531.86         7611.96
1956-1959       93              3284.61         1487.03         4771.64
1956-1959       94              2027.20          852.02         2879.22
1956-1959       95              1218.08          487.07         1705.15
1956-1959       96               655.00          255.75          910.75
1956-1959       97               333.97          134.40          468.37
1956-1959       98               183.08           66.32          249.40
1956-1959       99                87.20           34.17          121.37
1956-1959      100                41.05           14.53           55.58
1956-1959      101                19.10            6.14           25.23
1956-1959      102                 7.57            1.82            9.39
1956-1959      103                 1.83            0.08            1.90
1956-1959      104                 0.16            0.00            0.16
1956-1959      105                 0.00            0.00            0.00
1956-1959      106                 0.00            0.00            0.00
1956-1959      107                 0.00            0.00            0.00
1956-1959      108                 0.00            0.00            0.00
1956-1959      109                 0.00            0.00            0.00
1956-1959      110+                0.00            0.00            0.00
1960-1969        0           1334631.33      1408197.00      2742828.33
1960-1969        1           1339300.00      1410182.83      2749482.83
1960-1969        2           1343486.67      1413783.83      2757270.50
1960-1969        3           1344470.33      1414372.33      2758842.67
1960-1969        4           1341786.00      1410846.50      2752632.50
1960-1969        5           1335064.17      1403088.17      2738152.33
1960-1969        6           1323719.83      1391325.83      2715045.67
1960-1969        7           1310928.67      1378450.83      2689379.50
1960-1969        8           1299467.67      1366803.50      2666271.17
1960-1969        9           1286609.17      1353227.50      2639836.67
1960-1969       10           1267230.33      1332130.33      2599360.67
1960-1969       11           1238139.83      1299219.00      2537358.83
1960-1969       12           1204354.67      1261862.50      2466217.17
1960-1969       13           1155973.50      1210211.67      2366185.17
1960-1969       14           1101247.83      1151322.67      2252570.50
1960-1969       15           1068021.83      1114068.67      2182090.50
1960-1969       16           1052412.33      1096710.00      2149122.33
1960-1969       17           1038631.67      1080675.33      2119307.00
1960-1969       18           1038180.67      1076120.33      2114301.00
