West Germany, Exposure to risk (period 1x5), 	Last modified: 29 Mar 2017, MPv5 (May07)

  Year          Age             Female            Male           Total
1956-1959        0           1670543.10      1765745.34      3436288.43
1956-1959        1           1604415.33      1690461.51      3294876.84
1956-1959        2           1562303.84      1642418.34      3204722.17
1956-1959        3           1528189.50      1606211.00      3134400.50
1956-1959        4           1511315.67      1587226.67      3098542.34
1956-1959        5           1503883.50      1578822.50      3082706.00
1956-1959        6           1505463.50      1580620.17      3086083.67
1956-1959        7           1503141.67      1577457.17      3080598.83
1956-1959        8           1481417.33      1553695.83      3035113.17
1956-1959        9           1436531.00      1504411.00      2940942.00
1956-1959       10           1352597.17      1411196.17      2763793.34
1956-1959       11           1300352.83      1350644.50      2650997.33
1956-1959       12           1319037.00      1366066.67      2685103.67
1956-1959       13           1362910.83      1411426.67      2774337.50
1956-1959       14           1482114.50      1536068.17      3018182.67
1956-1959       15           1639172.17      1698645.33      3337817.50
1956-1959       16           1762739.17      1822103.83      3584843.00
1956-1959       17           1870126.83      1933123.50      3803250.33
1956-1959       18           1915834.00      1988628.50      3904462.50
1956-1959       19           1884465.67      1961480.83      3845946.50
1956-1959       20           1823408.50      1899601.67      3723010.17
1956-1959       21           1755944.50      1826402.67      3582347.17
1956-1959       22           1663278.00      1721051.67      3384329.67
1956-1959       23           1552733.33      1601706.84      3154440.17
1956-1959       24           1462692.33      1510430.84      2973123.17
1956-1959       25           1411523.83      1458032.67      2869556.50
1956-1959       26           1421304.50      1467369.17      2888673.67
1956-1959       27           1466335.17      1512851.50      2979186.67
1956-1959       28           1503313.17      1536841.34      3040154.50
1956-1959       29           1524783.33      1511764.17      3036547.50
1956-1959       30           1555911.33      1464552.17      3020463.50
1956-1959       31           1592335.50      1394347.34      2986682.84
1956-1959       32           1625604.17      1317827.67      2943431.83
1956-1959       33           1666974.83      1279137.50      2946112.34
1956-1959       34           1710069.33      1268663.67      2978733.00
1956-1959       35           1762778.00      1284987.33      3047765.33
1956-1959       36           1768035.83      1283483.83      3051519.67
1956-1959       37           1646662.17      1192039.33      2838701.50
1956-1959       38           1437415.50      1039246.67      2476662.17
1956-1959       39           1217231.00       884280.00      2101511.00
1956-1959       40           1103983.00       806881.17      1910864.17
1956-1959       41           1196275.50       874900.83      2071176.33
1956-1959       42           1404662.67      1029910.50      2434573.16
1956-1959       43           1614251.50      1194830.17      2809081.66
1956-1959       44           1762113.00      1319820.33      3081933.33
1956-1959       45           1816228.50      1379017.83      3195246.33
1956-1959       46           1831573.17      1408242.50      3239815.67
1956-1959       47           1840547.83      1429063.00      3269610.83
1956-1959       48           1845796.17      1450744.66      3296540.83
1956-1959       49           1842007.33      1471501.50      3313508.83
1956-1959       50           1813731.17      1482232.50      3295963.66
1956-1959       51           1773506.17      1490729.33      3264235.50
1956-1959       52           1731173.83      1488013.66      3219187.50
1956-1959       53           1692415.83      1480046.00      3172461.83
1956-1959       54           1660240.67      1463242.50      3123483.16
1956-1959       55           1623982.33      1427219.17      3051201.50
1956-1959       56           1585411.00      1380612.17      2966023.17
1956-1959       57           1544667.17      1316602.83      2861270.00
1956-1959       58           1496336.33      1232736.00      2729072.33
1956-1959       59           1451970.83      1144457.84      2596428.67
1956-1959       60           1411037.67      1060485.67      2471523.34
1956-1959       61           1361007.50       983399.50      2344407.00
1956-1959       62           1310619.50       919104.83      2229724.33
1956-1959       63           1255508.83       864329.83      2119838.67
1956-1959       64           1197036.67       818399.50      2015436.17
1956-1959       65           1142789.50       781930.67      1924720.17
1956-1959       66           1088822.17       748606.16      1837428.33
1956-1959       67           1038235.16       717874.50      1756109.66
1956-1959       68            987885.16       687695.83      1675580.99
1956-1959       69            935553.33       656120.33      1591673.66
1956-1959       70            881966.17       624000.49      1505966.66
1956-1959       71            826378.83       590350.16      1416728.99
1956-1959       72            768535.83       552938.33      1321474.16
