Bulgaria, Exposure to risk (period 1x5)     Last modified: 18-Apr-2012, MPv5 (May07)

   Year      Age       Female          Male         Total
1947-1949      0       231871.88    244296.69    476168.57 
1947-1949      1       212006.35    221293.34    433299.69 
1947-1949      2       198820.05    207092.00    405912.06 
1947-1949      3       188655.49    196001.63    384657.12 
1947-1949      4       183049.64    189988.91    373038.55 
1947-1949      5       181729.26    188798.71    370527.98 
1947-1949      6       180895.87    187982.25    368878.12 
1947-1949      7       177216.48    184088.07    361304.55 
1947-1949      8       174056.76    180342.78    354399.54 
1947-1949      9       173791.44    179978.79    353770.23 
1947-1949     10       177997.05    184619.24    362616.29 
1947-1949     11       184182.53    191415.97    375598.50 
1947-1949     12       192564.49    199839.52    392404.02 
1947-1949     13       200644.88    207783.87    408428.75 
1947-1949     14       207055.56    214110.55    421166.11 
1947-1949     15       207850.11    215060.62    422910.74 
1947-1949     16       206002.25    213810.38    419812.63 
1947-1949     17       204229.87    212099.04    416328.91 
1947-1949     18       204219.34    210676.31    414895.65 
1947-1949     19       205125.65    210071.08    415196.73 
1947-1949     20       208361.14    212230.93    420592.07 
1947-1949     21       213044.69    219499.60    432544.30 
1947-1949     22       216058.23    224415.03    440473.26 
1947-1949     23       215354.33    221248.42    436602.74 
1947-1949     24       211965.02    212305.61    424270.63 
1947-1949     25       208657.08    205159.65    413816.73 
1947-1949     26       204284.12    201068.20    405352.32 
1947-1949     27       193824.77    192985.50    386810.27 
1947-1949     28       169200.88    169566.52    338767.40 
1947-1949     29       133941.90    134111.27    268053.17 
1947-1949     30       106390.27    105134.15    211524.42 
1947-1949     31       108433.01    106646.11    215079.12 
1947-1949     32       136539.12    137162.30    273701.42 
1947-1949     33       155090.52    157905.47    312995.99 
1947-1949     34       158317.75    161471.18    319788.93 
1947-1949     35       154968.81    157914.44    312883.25 
1947-1949     36       158616.60    162558.44    321175.05 
1947-1949     37       162796.65    168635.88    331432.53 
1947-1949     38       158276.12    164175.15    322451.27 
1947-1949     39       154439.99    159648.99    314088.97 
1947-1949     40       152807.76    156879.97    309687.74 
1947-1949     41       152527.62    156662.45    309190.07 
1947-1949     42       149754.87    154256.55    304011.42 
1947-1949     43       143479.50    148588.75    292068.25 
1947-1949     44       135443.48    140716.35    276159.83 
1947-1949     45       129095.35    133372.21    262467.56 
1947-1949     46       127846.69    130441.61    258288.30 
1947-1949     47       125659.48    126718.28    252377.75 
1947-1949     48       119675.35    119966.85    239642.20 
1947-1949     49       110080.49    111254.69    221335.18 
1947-1949     50       104410.75    105478.48    209889.23 
1947-1949     51       102892.20    102603.22    205495.43 
1947-1949     52        99076.34     97536.56    196612.90 
