Australia, Exposure to risk (period 5x5)     Last modified: 12-Oct-2016, MPv5 (May07)

   Year      Age       Female          Male         Total
1921-1924      0       256600.30    267063.19    523663.49 
1921-1924    1-4       957176.84    994721.24   1951898.08 
1921-1924    5-9      1180056.61   1213272.92   2393329.52 
1921-1924   10-14     1096076.15   1123036.88   2219113.03 
1921-1924   15-19      968522.49    997946.49   1966468.98 
1921-1924   20-24      925052.98    914989.41   1840042.39 
1921-1924   25-29      941637.36    894548.74   1836186.11 
1921-1924   30-34      915723.48    926173.59   1841897.07 
1921-1924   35-39      806054.34    842748.48   1648802.82 
1921-1924   40-44      681851.40    719763.51   1401614.90 
1921-1924   45-49      569794.97    606599.42   1176394.39 
1921-1924   50-54      500644.26    554330.84   1054975.10 
1921-1924   55-59      420164.46    484767.45    904931.91 
1921-1924   60-64      338417.81    391010.36    729428.17 
1921-1924   65-69      228514.12    260057.47    488571.59 
1921-1924   70-74      136370.79    146686.70    283057.48 
1921-1924   75-79       86300.74     82835.01    169135.75 
1921-1924   80-84       48986.74     44372.56     93359.30 
1921-1924   85-89       19531.30     16499.60     36030.90 
1921-1924   90-94        5592.25      4658.15     10250.40 
1921-1924   95-99        1037.19       838.40      1875.59 
1921-1924  100-104        120.80       133.34       254.15 
1921-1924  105-109          4.39        23.73        28.12 
1921-1924  110+             0.00         3.99         3.99 
1925-1929      0       313997.53    327697.68    641695.21 
1925-1929    1-4      1250609.92   1292496.63   2543106.55 
1925-1929    5-9      1507805.94   1564663.21   3072469.15 
1925-1929   10-14     1495843.77   1532285.96   3028129.73 
1925-1929   15-19     1377622.25   1439091.08   2816713.33 
1925-1929   20-24     1234076.22   1325158.28   2559234.50 
1925-1929   25-29     1192115.41   1227917.43   2420032.83 
1925-1929   30-34     1196756.60   1175653.85   2372410.46 
1925-1929   35-39     1140797.29   1177109.90   2317907.19 
1925-1929   40-44      987440.91   1043837.75   2031278.65 
1925-1929   45-49      823241.41    877137.58   1700378.99 
1925-1929   50-54      684959.75    726711.99   1411671.75 
1925-1929   55-59      593474.72    644607.15   1238081.87 
1925-1929   60-64      489569.78    547688.12   1037257.91 
1925-1929   65-69      370400.09    411997.35    782397.44 
1925-1929   70-74      229965.72    248007.99    477973.71 
1925-1929   75-79      122734.35    122216.34    244950.69 
1925-1929   80-84       68765.45     58860.90    127626.35 
1925-1929   85-89       26860.83     21705.20     48566.04 
1925-1929   90-94        7815.26      5594.16     13409.43 
1925-1929   95-99        1440.59      1074.15      2514.74 
1925-1929  100-104        139.86       166.71       306.56 
1925-1929  105-109         14.90        37.53        52.43 
1925-1929  110+             0.23         1.89         2.13 
1930-1934      0       276715.86    290062.02    566777.88 
1930-1934    1-4      1169019.71   1220829.73   2389849.45 
1930-1934    5-9      1553129.52   1598333.46   3151462.98 
1930-1934   10-14     1516996.95   1571777.11   3088774.06 
1930-1934   15-19     1511265.42   1547507.05   3058772.46 
1930-1934   20-24     1398618.95   1473399.86   2872018.81 
1930-1934   25-29     1252659.96   1356110.57   2608770.54 
