Australia, Death rates (period 5x10)     Last modified: 12-Oct-2016, MPv5 (May07)

   Year      Age       Female       Male         Total
1921-1929      0     0.050890     0.064819     0.057999 
1921-1929    1-4     0.004746     0.005521     0.005141 
1921-1929    5-9     0.001450     0.001741     0.001598 
1921-1929   10-14    0.001104     0.001434     0.001271 
1921-1929   15-19    0.001726     0.002201     0.001968 
1921-1929   20-24    0.002801     0.002915     0.002859 
1921-1929   25-29    0.003367     0.003329     0.003348 
1921-1929   30-34    0.003752     0.003846     0.003799 
1921-1929   35-39    0.004632     0.004993     0.004816 
1921-1929   40-44    0.005180     0.006591     0.005905 
1921-1929   45-49    0.006743     0.009373     0.008100 
1921-1929   50-54    0.009100     0.012956     0.011102 
1921-1929   55-59    0.012656     0.018159     0.015556 
1921-1929   60-64    0.019227     0.027631     0.023692 
1921-1929   65-69    0.030431     0.041483     0.036275 
1921-1929   70-74    0.048697     0.063118     0.056176 
1921-1929   75-79    0.082946     0.102185     0.092473 
1921-1929   80-84    0.123478     0.146859     0.134401 
1921-1929   85-89    0.199031     0.224825     0.210680 
1921-1929   90-94    0.256340     0.293878     0.272606 
1921-1929   95-99    0.392783     0.364884     0.380629 
1921-1929  100-104   0.391468     0.356907     0.372974 
1921-1929  105-109   0.414687     0.261168     0.297933 
1921-1929  110+      0.000000     1.020408     0.981194 
1930-1939      0     0.037098     0.047159     0.042238 
1930-1939    1-4     0.003498     0.003989     0.003748 
1930-1939    5-9     0.001156     0.001534     0.001348 
1930-1939   10-14    0.000851     0.001240     0.001048 
1930-1939   15-19    0.001335     0.001835     0.001589 
1930-1939   20-24    0.002062     0.002398     0.002233 
1930-1939   25-29    0.002610     0.002568     0.002589 
1930-1939   30-34    0.002919     0.002910     0.002915 
1930-1939   35-39    0.003652     0.003944     0.003799 
1930-1939   40-44    0.004283     0.005304     0.004794 
1930-1939   45-49    0.005917     0.007828     0.006887 
1930-1939   50-54    0.008222     0.011687     0.009992 
1930-1939   55-59    0.011457     0.017608     0.014574 
1930-1939   60-64    0.017863     0.026500     0.022201 
1930-1939   65-69    0.029185     0.040548     0.034894 
1930-1939   70-74    0.046797     0.062053     0.054445 
1930-1939   75-79    0.078769     0.099234     0.088785 
1930-1939   80-84    0.116771     0.144519     0.129739 
1930-1939   85-89    0.190169     0.221976     0.203789 
1930-1939   90-94    0.265829     0.286022     0.273945 
1930-1939   95-99    0.404074     0.385191     0.396403 
1930-1939  100-104   0.511704     0.383359     0.445237 
1930-1939  105-109   0.741656     0.601774     0.644922 
1930-1939  110+      0.803213     2.112676     1.368821 
1940-1949      0     0.029333     0.037267     0.033389 
1940-1949    1-4     0.002168     0.002618     0.002398 
1940-1949    5-9     0.000830     0.001140     0.000988 
1940-1949   10-14    0.000644     0.000972     0.000811 
1940-1949   15-19    0.000866     0.001467     0.001169 
1940-1949   20-24    0.001302     0.001597     0.001450 
1940-1949   25-29    0.001700     0.001661     0.001681 
1940-1949   30-34    0.002010     0.002014     0.002012 
1940-1949   35-39    0.002619     0.002829     0.002728 
1940-1949   40-44    0.003512     0.004271     0.003902 
1940-1949   45-49    0.005192     0.007073     0.006134 
1940-1949   50-54    0.007665     0.011265     0.009450 
1940-1949   55-59    0.010811     0.017560     0.014179 
1940-1949   60-64    0.016994     0.027629     0.022242 
1940-1949   65-69    0.027568     0.042527     0.034751 
1940-1949   70-74    0.046394     0.064037     0.054689 
