Ireland, Death rates (period 1x10)     Last modified: 20-Nov-2015, MPv5 (May07)

   Year      Age       Female       Male         Total
1950-1959      0     0.033904     0.044136     0.039137 
1950-1959      1     0.002985     0.003402     0.003198 
1950-1959      2     0.001636     0.001987     0.001815 
1950-1959      3     0.001098     0.001335     0.001219 
1950-1959      4     0.000924     0.001087     0.001007 
1950-1959      5     0.000785     0.000805     0.000795 
1950-1959      6     0.000662     0.000631     0.000646 
1950-1959      7     0.000572     0.000717     0.000646 
1950-1959      8     0.000482     0.000626     0.000556 
1950-1959      9     0.000371     0.000521     0.000448 
1950-1959     10     0.000446     0.000536     0.000492 
1950-1959     11     0.000431     0.000488     0.000460 
1950-1959     12     0.000448     0.000518     0.000484 
1950-1959     13     0.000471     0.000501     0.000487 
1950-1959     14     0.000606     0.000572     0.000589 
1950-1959     15     0.000651     0.000701     0.000676 
1950-1959     16     0.000797     0.000750     0.000773 
1950-1959     17     0.000793     0.000969     0.000883 
1950-1959     18     0.000852     0.001096     0.000978 
1950-1959     19     0.000898     0.001249     0.001079 
1950-1959     20     0.001078     0.001219     0.001151 
1950-1959     21     0.001055     0.001495     0.001283 
1950-1959     22     0.001134     0.001312     0.001226 
1950-1959     23     0.001386     0.001490     0.001440 
1950-1959     24     0.001376     0.001570     0.001475 
1950-1959     25     0.001321     0.001525     0.001425 
1950-1959     26     0.001428     0.001509     0.001469 
1950-1959     27     0.001457     0.001805     0.001633 
1950-1959     28     0.001670     0.001792     0.001732 
1950-1959     29     0.001839     0.001765     0.001802 
1950-1959     30     0.002002     0.002203     0.002103 
1950-1959     31     0.001657     0.001610     0.001634 
1950-1959     32     0.002128     0.002300     0.002214 
1950-1959     33     0.001936     0.002125     0.002030 
1950-1959     34     0.002142     0.002219     0.002180 
1950-1959     35     0.002419     0.002622     0.002521 
1950-1959     36     0.002449     0.002560     0.002505 
1950-1959     37     0.002294     0.002539     0.002417 
1950-1959     38     0.003376     0.002830     0.003100 
1950-1959     39     0.002794     0.002789     0.002792 
1950-1959     40     0.003734     0.004153     0.003947 
1950-1959     41     0.002497     0.002825     0.002665 
1950-1959     42     0.003941     0.004249     0.004099 
1950-1959     43     0.003580     0.003855     0.003722 
1950-1959     44     0.003520     0.004131     0.003835 
1950-1959     45     0.004480     0.005354     0.004931 
1950-1959     46     0.004657     0.005169     0.004922 
1950-1959     47     0.004463     0.005601     0.005052 
1950-1959     48     0.005789     0.006801     0.006311 
1950-1959     49     0.005196     0.006771     0.006006 
1950-1959     50     0.008836     0.011171     0.010033 
1950-1959     51     0.005381     0.007053     0.006235 
1950-1959     52     0.008175     0.010237     0.009226 
1950-1959     53     0.008083     0.010397     0.009259 
1950-1959     54     0.009238     0.012730     0.011008 
1950-1959     55     0.009063     0.013099     0.011105 
1950-1959     56     0.011882     0.015555     0.013737 
1950-1959     57     0.009714     0.014793     0.012273 
1950-1959     58     0.013311     0.018070     0.015703 
1950-1959     59     0.010950     0.017140     0.014057 
1950-1959     60     0.021536     0.027856     0.024706 
1950-1959     61     0.012856     0.017891     0.015378 
1950-1959     62     0.018642     0.024881     0.021764 
1950-1959     63     0.019091     0.024756     0.021924 
1950-1959     64     0.022575     0.028542     0.025560 
1950-1959     65     0.028461     0.038710     0.033580 
1950-1959     66     0.021691     0.029670     0.025667 
1950-1959     67     0.024178     0.034162     0.029140 
1950-1959     68     0.033252     0.044506     0.038820 
1950-1959     69     0.031285     0.044675     0.037876 
1950-1959     70     0.047996     0.056694     0.052262 
1950-1959     71     0.038377     0.047007     0.042601 
1950-1959     72     0.053556     0.064237     0.058773 
1950-1959     73     0.056932     0.069919     0.063261 
1950-1959     74     0.066119     0.080398     0.073053 
1950-1959     75     0.074848     0.090969     0.082643 
1950-1959     76     0.079660     0.095829     0.087450 
1950-1959     77     0.076977     0.095396     0.085818 
1950-1959     78     0.096445     0.117486     0.106497 
1950-1959     79     0.086995     0.108317     0.097141 
1950-1959     80     0.133919     0.153065     0.142990 
1950-1959     81     0.096271     0.117309     0.106182 
1950-1959     82     0.134762     0.155668     0.144555 
1950-1959     83     0.138390     0.161270     0.149019 
1950-1959     84     0.175478     0.214088     0.193138 
1950-1959     85     0.175557     0.209007     0.190551 
1950-1959     86     0.208919     0.241069     0.223067 
1950-1959     87     0.207089     0.243368     0.222709 
1950-1959     88     0.206968     0.250171     0.225052 
1950-1959     89     0.203742     0.266681     0.229192 
1950-1959     90     0.283328     0.328551     0.300998 
1950-1959     91     0.210665     0.259217     0.229047 
1950-1959     92     0.273158     0.299140     0.282708 
1950-1959     93     0.291858     0.318495     0.301460 
1950-1959     94     0.316760     0.354274     0.330089 
1950-1959     95     0.347707     0.378324     0.358426 
1950-1959     96     0.368957     0.441545     0.393567 
1950-1959     97     0.413112     0.415124     0.413773 
1950-1959     98     0.448675     0.649508     0.511861 
1950-1959     99     0.611575     0.629985     0.616963 
1950-1959    100     0.538622     0.737475     0.595839 
1950-1959    101     0.509923     0.824942     0.591973 
1950-1959    102     0.709857     1.060045     0.791525 
1950-1959    103     0.858416     1.620479     1.017338 
1950-1959    104     1.357834     1.154213     1.317984 
1950-1959    105     3.425287     4.449438     3.840547 
1950-1959    106            .            .            . 
1950-1959    107            .            .            . 
1950-1959    108            .            .            . 
1950-1959    109            .            .            . 
1950-1959    110+           .            .            . 
1960-1969      0     0.022990     0.028964     0.026049 
1960-1969      1     0.001524     0.001727     0.001628 
1960-1969      2     0.000988     0.001061     0.001025 
1960-1969      3     0.000707     0.000773     0.000741 
1960-1969      4     0.000477     0.000676     0.000579 
1960-1969      5     0.000462     0.000537     0.000500 
1960-1969      6     0.000436     0.000539     0.000489 
1960-1969      7     0.000279     0.000442     0.000362 
1960-1969      8     0.000361     0.000450     0.000406 
1960-1969      9     0.000302     0.000468     0.000386 
1960-1969     10     0.000290     0.000407     0.000349 
1960-1969     11     0.000298     0.000306     0.000302 
1960-1969     12     0.000282     0.000409     0.000347 
1960-1969     13     0.000245     0.000415     0.000332 
1960-1969     14     0.000284     0.000347     0.000316 
1960-1969     15     0.000310     0.000525     0.000420 
1960-1969     16     0.000287     0.000632     0.000464 
1960-1969     17     0.000424     0.000687     0.000559 
1960-1969     18     0.000352     0.000776     0.000570 
1960-1969     19     0.000499     0.001062     0.000788 
1960-1969     20     0.000500     0.001136     0.000827 
1960-1969     21     0.000454     0.000980     0.000724 
1960-1969     22     0.000562     0.001032     0.000803 
1960-1969     23     0.000640     0.000998     0.000822 
1960-1969     24     0.000549     0.000953     0.000754 
1960-1969     25     0.000664     0.001118     0.000894 
1960-1969     26     0.000595     0.001184     0.000891 
1960-1969     27     0.000758     0.001214     0.000987 
1960-1969     28     0.000790     0.001085     0.000938 
1960-1969     29     0.000858     0.001296     0.001078 
1960-1969     30     0.001135     0.001258     0.001196 
1960-1969     31     0.000863     0.001197     0.001030 
1960-1969     32     0.001178     0.001372     0.001275 
1960-1969     33     0.001135     0.001498     0.001316 
1960-1969     34     0.001295     0.001630     0.001462 
1960-1969     35     0.001393     0.001828     0.001609 
1960-1969     36     0.001600     0.001840     0.001719 
1960-1969     37     0.001368     0.001984     0.001672 
1960-1969     38     0.001845     0.002493     0.002165 
1960-1969     39     0.001830     0.002307     0.002066 
1960-1969     40     0.002463     0.003041     0.002749 
1960-1969     41     0.001932     0.002635     0.002280 
1960-1969     42     0.002907     0.003377     0.003140 
1960-1969     43     0.002691     0.003483     0.003085 
1960-1969     44     0.002667     0.003926     0.003296 
1960-1969     45     0.003711     0.005004     0.004359 
1960-1969     46     0.003559     0.004603     0.004084 
1960-1969     47     0.003868     0.005056     0.004467 
1960-1969     48     0.004467     0.005806     0.005145 
1960-1969     49     0.004668     0.005671     0.005179 
1960-1969     50     0.006784     0.009439     0.008141 
1960-1969     51     0.004816     0.006435     0.005646 
1960-1969     52     0.007202     0.009379     0.008321 
1960-1969     53     0.006581     0.009937     0.008308 
1960-1969     54     0.007968     0.011368     0.009717 
1960-1969     55     0.007277     0.012557     0.009989 
1960-1969     56     0.009315     0.013987     0.011710 
1960-1969     57     0.008646     0.013922     0.011344 
1960-1969     58     0.010975     0.017464     0.014279 
1960-1969     59     0.010149     0.017222     0.013728 
1960-1969     60     0.016242     0.025080     0.020681 
1960-1969     61     0.011126     0.019340     0.015225 
1960-1969     62     0.016691     0.026618     0.021614 
1960-1969     63     0.016663     0.027266     0.021895 
1960-1969     64     0.019061     0.030603     0.024732 
1960-1969     65     0.023821     0.039519     0.031501 
1960-1969     66     0.019854     0.032382     0.025955 
1960-1969     67     0.022045     0.035076     0.028362 
1960-1969     68     0.028565     0.045653     0.036802 
1960-1969     69     0.028326     0.045400     0.036507 
1960-1969     70     0.041581     0.056356     0.048619 
1960-1969     71     0.031088     0.046269     0.038276 
1960-1969     72     0.046610     0.063720     0.054675 
1960-1969     73     0.048452     0.068886     0.058043 
1960-1969     74     0.057658     0.075727     0.066108 
1960-1969     75     0.064417     0.086488     0.074706 
1960-1969     76     0.071316     0.090704     0.080314 
1960-1969     77     0.067977     0.091309     0.078745 
1960-1969     78     0.085451     0.107557     0.095570 
1960-1969     79     0.079169     0.102194     0.089606 
1960-1969     80     0.120339     0.140359     0.129280 
1960-1969     81     0.090323     0.112036     0.099969 
1960-1969     82     0.119884     0.152191     0.134107 
1960-1969     83     0.129590     0.153028     0.139821 
1960-1969     84     0.162959     0.201780     0.179751 
1960-1969     85     0.163767     0.204313     0.181015 
1960-1969     86     0.187969     0.231400     0.206111 
1960-1969     87     0.189570     0.244359     0.211983 
1960-1969     88     0.215517     0.251638     0.230014 
1960-1969     89     0.208607     0.264570     0.230677 
1960-1969     90     0.270131     0.323832     0.290808 
1960-1969     91     0.213163     0.281170     0.238656 
1960-1969     92     0.271849     0.330100     0.292984 
1960-1969     93     0.290045     0.336217     0.306305 
1960-1969     94     0.319524     0.402183     0.347803 
1960-1969     95     0.339469     0.377900     0.352207 
1960-1969     96     0.430482     0.567708     0.474143 
1960-1969     97     0.454587     0.460478     0.456376 
1960-1969     98     0.549403     0.696223     0.592342 
1960-1969     99     0.603160     0.648781     0.615163 
1960-1969    100     0.543204     0.519964     0.537299 
1960-1969    101     0.577754     0.558368     0.572811 
1960-1969    102     0.749798     0.317811     0.629490 
1960-1969    103     0.773844     0.087209     0.510695 
1960-1969    104     0.590981     0.451128     0.523189 
1960-1969    105     0.465340     0.337079     0.394810 
1960-1969    106     0.913242     0.508475     0.653239 
1960-1969    107     0.000000     0.000000     0.000000 
