Finland, Death rates (period 1x10)     Last modified: 07-Oct-2016, MPv5 (May07)

   Year      Age       Female       Male         Total
1878-1879      0     0.163783     0.191108     0.177707 
1878-1879      1     0.067329     0.068152     0.067744 
1878-1879      2     0.039902     0.037602     0.038748 
1878-1879      3     0.025813     0.025303     0.025558 
1878-1879      4     0.019595     0.017658     0.018623 
1878-1879      5     0.013259     0.012566     0.012910 
1878-1879      6     0.010288     0.009648     0.009966 
1878-1879      7     0.008717     0.008163     0.008439 
1878-1879      8     0.007293     0.006582     0.006936 
1878-1879      9     0.005785     0.005391     0.005587 
1878-1879     10     0.005528     0.004976     0.005250 
1878-1879     11     0.004705     0.004842     0.004773 
1878-1879     12     0.004772     0.004765     0.004768 
1878-1879     13     0.004488     0.003837     0.004163 
1878-1879     14     0.004939     0.004116     0.004528 
1878-1879     15     0.005141     0.004872     0.005007 
1878-1879     16     0.004980     0.004409     0.004695 
1878-1879     17     0.005316     0.004607     0.004963 
1878-1879     18     0.005106     0.005757     0.005432 
1878-1879     19     0.005371     0.006185     0.005780 
1878-1879     20     0.005990     0.007237     0.006618 
1878-1879     21     0.006010     0.006494     0.006253 
1878-1879     22     0.006882     0.007669     0.007276 
1878-1879     23     0.006016     0.006615     0.006315 
1878-1879     24     0.006318     0.007710     0.007011 
1878-1879     25     0.006226     0.007382     0.006801 
1878-1879     26     0.007044     0.008621     0.007823 
1878-1879     27     0.007443     0.007316     0.007381 
1878-1879     28     0.007778     0.007671     0.007725 
1878-1879     29     0.006477     0.008080     0.007259 
1878-1879     30     0.008489     0.008841     0.008660 
1878-1879     31     0.008020     0.007998     0.008009 
1878-1879     32     0.007880     0.007172     0.007533 
1878-1879     33     0.008075     0.007629     0.007856 
1878-1879     34     0.008959     0.008286     0.008631 
1878-1879     35     0.008839     0.009595     0.009207 
1878-1879     36     0.009642     0.008698     0.009182 
1878-1879     37     0.009289     0.009313     0.009301 
1878-1879     38     0.009462     0.010612     0.010021 
1878-1879     39     0.009114     0.010208     0.009647 
1878-1879     40     0.010264     0.011226     0.010733 
1878-1879     41     0.009380     0.010901     0.010120 
1878-1879     42     0.010024     0.011648     0.010814 
1878-1879     43     0.010700     0.011456     0.011067 
1878-1879     44     0.009940     0.012291     0.011076 
1878-1879     45     0.009246     0.011556     0.010358 
1878-1879     46     0.010280     0.013063     0.011613 
1878-1879     47     0.010961     0.012791     0.011834 
1878-1879     48     0.010636     0.016020     0.013204 
1878-1879     49     0.010490     0.016435     0.013321 
1878-1879     50     0.012154     0.017258     0.014579 
1878-1879     51     0.014608     0.019702     0.017017 
